frame,id,team,jersey,x_center,y_center,dist_to_ball,nearest_ids,nearest_dists
9,64,green,,218.63,351.33,,"[76, 22, 41]","[75.4, 102.63, 111.6]"
9,63,other,,554.33,189.63,,"[27, 60, 70]","[72.53, 113.3, 113.34]"
9,62,other,,147.27,210.28,,"[45, 30, 65]","[26.68, 29.96, 73.65]"
9,61,black,,424.24,276.99,,"[78, 23, 70]","[20.13, 32.64, 43.39]"
9,60,black,,479.78,274.94,,"[70, 27, 18]","[28.42, 42.91, 48.27]"
9,50,other,,297.27,128.19,,"[69, 16, 71]","[38.34, 38.7, 44.8]"
9,45,other,,127.52,192.33,,"[30, 62, 65]","[17.8, 26.68, 96.35]"
9,42,black,,622.49,349.91,,"[26, 24, 18]","[5.42, 45.66, 116.93]"
9,41,other,,327.19,325.48,,"[22, 19, 36]","[9.05, 29.74, 39.51]"
9,36,black,,366.63,323.29,,"[19, 41, 87]","[24.17, 39.51, 39.81]"
9,33,black,,415.8,341.36,,"[31, 36, 23]","[15.09, 52.38, 54.99]"
9,32,other,,259.38,234.23,,"[74, 65, 28]","[21.06, 42.32, 61.61]"
9,31,green,,428.18,332.74,,"[33, 23, 61]","[15.09, 53.87, 55.89]"
9,30,other,,141.2,180.94,,"[45, 62, 65]","[17.8, 29.96, 87.32]"
9,28,green,,313.29,204.42,,"[71, 74, 32]","[45.65, 53.9, 61.61]"
9,27,green,,515.19,250.69,,"[60, 70, 18]","[42.91, 54.41, 59.9]"
9,26,black,,617.53,347.73,,"[42, 24, 18]","[5.42, 40.9, 111.52]"
9,24,green,,576.9,352.37,,"[26, 42, 18]","[40.9, 45.66, 76.89]"
9,23,black,,394.59,290.63,,"[78, 87, 61]","[16.63, 20.03, 32.64]"
9,22,green,,318.74,328.71,,"[41, 76, 19]","[9.05, 33.37, 38.37]"
9,19,green,,349.7,306.05,,"[36, 41, 87]","[24.17, 29.74, 33.64]"
9,18,black,,512.39,310.52,,"[66, 60, 27]","[21.17, 48.27, 59.9]"
9,16,green,,268.86,154.46,,"[69, 50, 71]","[27.9, 38.7, 59.19]"
9,14,other,,386.07,226.27,,"[78, 68, 87]","[53.84, 55.94, 59.16]"
